16,4,o
4,4,x
16,17,o
3,17,x
6,17,o
3,15,x
9,16,o
16,14,x
17,12,o
17,6,x
16,9,o
15,16,x
16,16,o
16,15,x
15,17,o
14,16,x
13,18,o
14,3,x
16,6,o
16,7,x
15,6,o
17,4,x
17,5,o
18,5,x
16,5,o
18,7,x
17,3,o
18,4,x
15,7,o
10,3,x
16,8,o
16,3,x
15,3,o
16,2,x
15,2,o
17,2,x
14,14,o
18,15,x
18,17,o
16,12,x
17,11,o
16,11,x
16,10,o
14,13,x
13,13,o
14,12,x
13,14,o
17,13,x
15,14,o
15,13,x
17,7,o
6,4,x
8,3,o
8,4,x
3,3,o
3,4,x
7,3,o
9,4,x
4,3,o
6,3,x
6,2,o
5,2,x
5,3,o
7,2,x
5,4,o
4,6,x
5,5,o
4,7,x
3,9,o
4,9,x
4,10,o
5,9,x
3,8,o
2,4,x
6,6,o
6,5,x
5,6,o
4,8,x
3,11,o
5,10,x
8,6,o
4,12,x
6,1,o
7,1,x
7,4,o
7,5,x
8,5,o
5,1,x
6,2,o
6,1,x
7,6,o
6,2,x
3,13,o
2,7,x
4,13,o
5,16,x
6,12,o
6,16,x
7,17,o
4,11,x
3,10,o
5,13,x
5,12,o
5,11,x
2,14,o
6,13,x
7,12,o
7,13,x
3,7,o
3,6,x
8,12,o
2,8,x
2,9,o
3,12,x
2,12,o
1,9,x
1,10,o
2,11,x
1,8,o
1,12,x
2,13,o
1,7,x
9,2,o
10,2,x
4,2,o
9,3,x
8,2,o
9,1,x
2,6,o
1,9,x
4,1,o
2,10,x
8,1,o
15,1,x
14,2,o
13,2,x
13,3,o
14,1,x
14,4,o
12,2,x
4,18,o
8,13,x
4,17,o
4,16,x
3,18,o
2,17,x
9,13,o
9,14,x
10,14,o
10,13,x
9,12,o
10,15,x
11,14,o
9,15,x
12,16,o
10,16,x
18,12,o
17,16,x
17,17,o
13,12,x
12,12,o
12,11,x
11,11,o
11,12,x
12,13,o
15,11,x
9,17,o
13,10,x
12,10,o
13,11,x
18,6,o
19,6,x
10,17,o
15,15,x
7,15,o
7,16,x
8,16,o
8,15,x
11,16,o
6,15,x
11,10,o
11,5,x
18,8,o
18,13,x
2,18,o
1,18,x
18,16,o
19,12,x
18,10,o
17,6,x
17,15,o
19,15,x
18,6,o
14,17,x
14,18,o
17,6,x
2,16,o
3,16,x
18,6,o
5,17,x
5,18,o
17,6,x
1,17,o
1,16,x
18,6,o
10,9,x
19,7,o
19,11,x
9,10,o
9,9,x
8,10,o
10,6,x
2,3,o
1,3,x
